Clef;Date début;Site;Profondeur;Plaque;Famille;Position sur plaque;Nombre;Observation
36861Vaipahu61CassésDessous;déc-00;Vaipahu;06m;1;Cassés;Dessous;4;
45597Vaipahu668AcroporidaeDessous;nov-24;Vaipahu;06m;68;Acroporidae;Dessous;3;
45597Vaipahu18149PoritidaeDessous;nov-24;Vaipahu;18m;149;Poritidae;Dessous;1;
45597Vaipahu18149PocilloporidaeDessous;nov-24;Vaipahu;18m;149;Pocilloporidae;Dessous;1;
45597Vaipahu18148PocilloporidaeDessous;nov-24;Vaipahu;18m;148;Pocilloporidae;Dessous;3;
45597Vaipahu18147PoritidaeDessous;nov-24;Vaipahu;18m;147;Poritidae;Dessous;1;
45597Vaipahu18147PocilloporidaeDessous;nov-24;Vaipahu;18m;147;Pocilloporidae;Dessous;6;
45597Vaipahu18146PoritidaeDessous;nov-24;Vaipahu;18m;146;Poritidae;Dessous;5;
45597Vaipahu18146PocilloporidaeDessous;nov-24;Vaipahu;18m;146;Pocilloporidae;Dessous;5;
45597Vaipahu18146PocilloporidaeDessus;nov-24;Vaipahu;18m;146;Pocilloporidae;Dessus;1;
45597Vaipahu18145PocilloporidaeDessous;nov-24;Vaipahu;18m;145;Pocilloporidae;Dessous;6;
45597Vaipahu18144PoritidaeDessous;nov-24;Vaipahu;18m;144;Poritidae;Dessous;1;
45597Vaipahu18144PocilloporidaeDessous;nov-24;Vaipahu;18m;144;Pocilloporidae;Dessous;2;
45597Vaipahu18143PoritidaeDessous;nov-24;Vaipahu;18m;143;Poritidae;Dessous;2;
45597Vaipahu18143PocilloporidaeDessous;nov-24;Vaipahu;18m;143;Pocilloporidae;Dessous;3;
45597Vaipahu18142PoritidaeDessous;nov-24;Vaipahu;18m;142;Poritidae;Dessous;4;
45597Vaipahu18142PocilloporidaeDessous;nov-24;Vaipahu;18m;142;Pocilloporidae;Dessous;4;
45597Vaipahu18141AutresDessous;nov-24;Vaipahu;18m;141;Autres;Dessous;1;
45597Vaipahu18141PoritidaeDessous;nov-24;Vaipahu;18m;141;Poritidae;Dessous;7;
45597Vaipahu18141PoritidaeDessus;nov-24;Vaipahu;18m;141;Poritidae;Dessus;1;
45597Vaipahu18141PocilloporidaeDessous;nov-24;Vaipahu;18m;141;Pocilloporidae;Dessous;6;
45597Vaipahu18121PoritidaeDessous;nov-24;Vaipahu;18m;121;Poritidae;Dessous;3;
45597Vaipahu18121PocilloporidaeDessous;nov-24;Vaipahu;18m;121;Pocilloporidae;Dessous;3;
45597Vaipahu18120AcroporidaeDessous;nov-24;Vaipahu;18m;120;Acroporidae;Dessous;1;
45597Vaipahu18120PocilloporidaeDessous;nov-24;Vaipahu;18m;120;Pocilloporidae;Dessous;6;
45597Vaipahu18120PocilloporidaeDessus;nov-24;Vaipahu;18m;120;Pocilloporidae;Dessus;1;
45597Vaipahu18119PoritidaeDessous;nov-24;Vaipahu;18m;119;Poritidae;Dessous;3;
45597Vaipahu18119PoritidaeDessus;nov-24;Vaipahu;18m;119;Poritidae;Dessus;2;
45597Vaipahu18119PocilloporidaeDessous;nov-24;Vaipahu;18m;119;Pocilloporidae;Dessous;4;
45597Vaipahu18119PocilloporidaeDessus;nov-24;Vaipahu;18m;119;Pocilloporidae;Dessus;5;
45597Vaipahu18118PoritidaeDessous;nov-24;Vaipahu;18m;118;Poritidae;Dessous;1;
45597Vaipahu18118PocilloporidaeDessous;nov-24;Vaipahu;18m;118;Pocilloporidae;Dessous;8;
45597Vaipahu18117PocilloporidaeDessous;nov-24;Vaipahu;18m;117;Pocilloporidae;Dessous;3;
45597Vaipahu18116PoritidaeDessus;nov-24;Vaipahu;18m;116;Poritidae;Dessus;1;
45597Vaipahu18116AcroporidaeDessous;nov-24;Vaipahu;18m;116;Acroporidae;Dessous;1;
45597Vaipahu18116PocilloporidaeDessous;nov-24;Vaipahu;18m;116;Pocilloporidae;Dessous;4;
45597Vaipahu18116PocilloporidaeDessus;nov-24;Vaipahu;18m;116;Pocilloporidae;Dessus;2;
45597Vaipahu18115AcroporidaeDessous;nov-24;Vaipahu;18m;115;Acroporidae;Dessous;1;
45597Vaipahu18115AcroporidaeDessus;nov-24;Vaipahu;18m;115;Acroporidae;Dessus;1;
45597Vaipahu18115PocilloporidaeDessous;nov-24;Vaipahu;18m;115;Pocilloporidae;Dessous;9;
45597Vaipahu18115PocilloporidaeDessus;nov-24;Vaipahu;18m;115;Pocilloporidae;Dessus;1;
45597Vaipahu18114CassésDessous;nov-24;Vaipahu;18m;114;Cassés;Dessous;1;
45597Vaipahu18114PocilloporidaeDessous;nov-24;Vaipahu;18m;114;Pocilloporidae;Dessous;7;
45597Vaipahu18113PoritidaeDessous;nov-24;Vaipahu;18m;113;Poritidae;Dessous;1;
45597Vaipahu18113PocilloporidaeDessous;nov-24;Vaipahu;18m;113;Pocilloporidae;Dessous;5;
45597Vaipahu18112PoritidaeDessous;nov-24;Vaipahu;18m;112;Poritidae;Dessous;1;
45597Vaipahu18112AcroporidaeDessous;nov-24;Vaipahu;18m;112;Acroporidae;Dessous;1;
45597Vaipahu18112PocilloporidaeDessous;nov-24;Vaipahu;18m;112;Pocilloporidae;Dessous;8;
45597Vaipahu18180PoritidaeDessous;nov-24;Vaipahu;18m;180;Poritidae;Dessous;2;
45597Vaipahu18180PocilloporidaeDessous;nov-24;Vaipahu;18m;180;Pocilloporidae;Dessous;5;
45597Vaipahu18179PocilloporidaeDessous;nov-24;Vaipahu;18m;179;Pocilloporidae;Dessous;4;
45597Vaipahu18178AutresDessous;nov-24;Vaipahu;18m;178;Autres;Dessous;1;
45597Vaipahu18178PoritidaeDessous;nov-24;Vaipahu;18m;178;Poritidae;Dessous;2;
45597Vaipahu18178PocilloporidaeDessous;nov-24;Vaipahu;18m;178;Pocilloporidae;Dessous;5;
45597Vaipahu18178PocilloporidaeBords;nov-24;Vaipahu;18m;178;Pocilloporidae;Bords;1;
45597Vaipahu18178PocilloporidaeDessus;nov-24;Vaipahu;18m;178;Pocilloporidae;Dessus;1;
45597Vaipahu18177AutresDessous;nov-24;Vaipahu;18m;177;Autres;Dessous;1;
45597Vaipahu18177AcroporidaeDessous;nov-24;Vaipahu;18m;177;Acroporidae;Dessous;3;
45597Vaipahu18177PocilloporidaeDessous;nov-24;Vaipahu;18m;177;Pocilloporidae;Dessous;5;
45597Vaipahu18176PocilloporidaeDessous;nov-24;Vaipahu;18m;176;Pocilloporidae;Dessous;3;
45597Vaipahu18175PoritidaeDessous;nov-24;Vaipahu;18m;175;Poritidae;Dessous;2;
45597Vaipahu18175AcroporidaeDessous;nov-24;Vaipahu;18m;175;Acroporidae;Dessous;1;
45597Vaipahu18175PocilloporidaeDessous;nov-24;Vaipahu;18m;175;Pocilloporidae;Dessous;9;
45597Vaipahu18173PocilloporidaeDessous;nov-24;Vaipahu;18m;173;Pocilloporidae;Dessous;3;
45597Vaipahu18172PocilloporidaeDessous;nov-24;Vaipahu;18m;172;Pocilloporidae;Dessous;1;
45597Vaipahu18169CassésDessus;nov-24;Vaipahu;18m;169;Cassés;Dessus;1;
45597Vaipahu18169PocilloporidaeDessous;nov-24;Vaipahu;18m;169;Pocilloporidae;Dessous;5;
45597Vaipahu18168PocilloporidaeDessous;nov-24;Vaipahu;18m;168;Pocilloporidae;Dessous;3;
45597Vaipahu18166PocilloporidaeDessous;nov-24;Vaipahu;18m;166;Pocilloporidae;Dessous;3;
45597Vaipahu18165PocilloporidaeDessous;nov-24;Vaipahu;18m;165;Pocilloporidae;Dessous;4;
45597Vaipahu12111PocilloporidaeDessous;nov-24;Vaipahu;12m;111;Pocilloporidae;Dessous;2;
45597Vaipahu12111PocilloporidaeBords;nov-24;Vaipahu;12m;111;Pocilloporidae;Bords;1;
45597Vaipahu12111PocilloporidaeDessus;nov-24;Vaipahu;12m;111;Pocilloporidae;Dessus;1;
45597Vaipahu12110PocilloporidaeDessous;nov-24;Vaipahu;12m;110;Pocilloporidae;Dessous;4;
45597Vaipahu12109AutresDessous;nov-24;Vaipahu;12m;109;Autres;Dessous;1;
45597Vaipahu12109AutresDessus;nov-24;Vaipahu;12m;109;Autres;Dessus;2;
45597Vaipahu12109PoritidaeDessous;nov-24;Vaipahu;12m;109;Poritidae;Dessous;2;
45597Vaipahu12109PocilloporidaeDessous;nov-24;Vaipahu;12m;109;Pocilloporidae;Dessous;4;
45597Vaipahu12108CassésDessus;nov-24;Vaipahu;12m;108;Cassés;Dessus;1;
45597Vaipahu12108PoritidaeDessous;nov-24;Vaipahu;12m;108;Poritidae;Dessous;3;
45597Vaipahu12108AcroporidaeDessous;nov-24;Vaipahu;12m;108;Acroporidae;Dessous;6;
45597Vaipahu12108PocilloporidaeDessous;nov-24;Vaipahu;12m;108;Pocilloporidae;Dessous;10;
45597Vaipahu12159CassésDessous;nov-24;Vaipahu;12m;159;Cassés;Dessous;1;
45597Vaipahu12159PoritidaeDessous;nov-24;Vaipahu;12m;159;Poritidae;Dessous;2;
45597Vaipahu12159PoritidaeDessus;nov-24;Vaipahu;12m;159;Poritidae;Dessus;1;
45597Vaipahu12159AcroporidaeDessous;nov-24;Vaipahu;12m;159;Acroporidae;Dessous;2;
45597Vaipahu12159PocilloporidaeDessous;nov-24;Vaipahu;12m;159;Pocilloporidae;Dessous;2;
45597Vaipahu12159PocilloporidaeDessus;nov-24;Vaipahu;12m;159;Pocilloporidae;Dessus;2;
45597Vaipahu12158AutresDessous;nov-24;Vaipahu;12m;158;Autres;Dessous;1;
45597Vaipahu12158AcroporidaeDessous;nov-24;Vaipahu;12m;158;Acroporidae;Dessous;1;
45597Vaipahu12158PocilloporidaeDessous;nov-24;Vaipahu;12m;158;Pocilloporidae;Dessous;1;
45597Vaipahu12158PocilloporidaeDessus;nov-24;Vaipahu;12m;158;Pocilloporidae;Dessus;1;
45597Vaipahu12137PoritidaeDessous;nov-24;Vaipahu;12m;137;Poritidae;Dessous;2;
45597Vaipahu12137PocilloporidaeDessous;nov-24;Vaipahu;12m;137;Pocilloporidae;Dessous;3;
45597Vaipahu12136AutresDessous;nov-24;Vaipahu;12m;136;Autres;Dessous;1;
45597Vaipahu12136PocilloporidaeDessous;nov-24;Vaipahu;12m;136;Pocilloporidae;Dessous;1;
45597Vaipahu12135AutresDessous;nov-24;Vaipahu;12m;135;Autres;Dessous;2;
45597Vaipahu12135PoritidaeDessous;nov-24;Vaipahu;12m;135;Poritidae;Dessous;3;
45597Vaipahu12135AcroporidaeDessous;nov-24;Vaipahu;12m;135;Acroporidae;Dessous;1;
45597Vaipahu12135PocilloporidaeDessous;nov-24;Vaipahu;12m;135;Pocilloporidae;Dessous;3;
45597Vaipahu12134CassésDessous;nov-24;Vaipahu;12m;134;Cassés;Dessous;1;
45597Vaipahu12134PoritidaeDessous;nov-24;Vaipahu;12m;134;Poritidae;Dessous;6;
45597Vaipahu12134PoritidaeDessus;nov-24;Vaipahu;12m;134;Poritidae;Dessus;3;
45597Vaipahu12134AcroporidaeDessous;nov-24;Vaipahu;12m;134;Acroporidae;Dessous;1;
45597Vaipahu12134PocilloporidaeDessous;nov-24;Vaipahu;12m;134;Pocilloporidae;Dessous;4;
45597Vaipahu12131AutresDessous;nov-24;Vaipahu;12m;131;Autres;Dessous;1;
45597Vaipahu12131PoritidaeDessous;nov-24;Vaipahu;12m;131;Poritidae;Dessous;3;
45597Vaipahu12131PocilloporidaeDessous;nov-24;Vaipahu;12m;131;Pocilloporidae;Dessous;4;
45597Vaipahu12130PoritidaeDessous;nov-24;Vaipahu;12m;130;Poritidae;Dessous;2;
45597Vaipahu12130PocilloporidaeDessous;nov-24;Vaipahu;12m;130;Pocilloporidae;Dessous;1;
45597Vaipahu12129PocilloporidaeDessous;nov-24;Vaipahu;12m;129;Pocilloporidae;Dessous;3;
45597Vaipahu12128AcroporidaeDessous;nov-24;Vaipahu;12m;128;Acroporidae;Dessous;1;
45597Vaipahu12128PocilloporidaeDessous;nov-24;Vaipahu;12m;128;Pocilloporidae;Dessous;4;
45597Vaipahu12127PoritidaeDessous;nov-24;Vaipahu;12m;127;Poritidae;Dessous;1;
45597Vaipahu12127PoritidaeDessus;nov-24;Vaipahu;12m;127;Poritidae;Dessus;1;
45597Vaipahu12127PocilloporidaeDessous;nov-24;Vaipahu;12m;127;Pocilloporidae;Dessous;1;
45597Vaipahu12127PocilloporidaeDessus;nov-24;Vaipahu;12m;127;Pocilloporidae;Dessus;2;
45597Vaipahu12126AutresDessous;nov-24;Vaipahu;12m;126;Autres;Dessous;3;
45597Vaipahu12126PoritidaeDessous;nov-24;Vaipahu;12m;126;Poritidae;Dessous;5;
45597Vaipahu12126AcroporidaeDessous;nov-24;Vaipahu;12m;126;Acroporidae;Dessous;2;
45597Vaipahu12126PocilloporidaeDessous;nov-24;Vaipahu;12m;126;Pocilloporidae;Dessous;6;
45597Vaipahu12125AutresDessous;nov-24;Vaipahu;12m;125;Autres;Dessous;1;
45597Vaipahu12125AcroporidaeDessous;nov-24;Vaipahu;12m;125;Acroporidae;Dessous;1;
45597Vaipahu12125PocilloporidaeDessous;nov-24;Vaipahu;12m;125;Pocilloporidae;Dessous;4;
45597Vaipahu12124AutresDessous;nov-24;Vaipahu;12m;124;Autres;Dessous;1;
45597Vaipahu12124PoritidaeDessous;nov-24;Vaipahu;12m;124;Poritidae;Dessous;1;
45597Vaipahu12124PoritidaeDessus;nov-24;Vaipahu;12m;124;Poritidae;Dessus;3;
45597Vaipahu12124AcroporidaeDessus;nov-24;Vaipahu;12m;124;Acroporidae;Dessus;1;
45597Vaipahu12124PocilloporidaeDessous;nov-24;Vaipahu;12m;124;Pocilloporidae;Dessous;1;
45597Vaipahu12124PocilloporidaeDessus;nov-24;Vaipahu;12m;124;Pocilloporidae;Dessus;4;
45597Vaipahu12107AutresDessous;nov-24;Vaipahu;12m;107;Autres;Dessous;2;
45597Vaipahu12107AcroporidaeDessus;nov-24;Vaipahu;12m;107;Acroporidae;Dessus;1;
45597Vaipahu12107PocilloporidaeDessous;nov-24;Vaipahu;12m;107;Pocilloporidae;Dessous;4;
45597Vaipahu12106AutresBords;nov-24;Vaipahu;12m;106;Autres;Bords;1;
45597Vaipahu12106PoritidaeBords;nov-24;Vaipahu;12m;106;Poritidae;Bords;1;
45597Vaipahu12106PoritidaeDessus;nov-24;Vaipahu;12m;106;Poritidae;Dessus;3;
45597Vaipahu12106AcroporidaeDessus;nov-24;Vaipahu;12m;106;Acroporidae;Dessus;1;
45597Vaipahu12106PocilloporidaeBords;nov-24;Vaipahu;12m;106;Pocilloporidae;Bords;1;
45597Vaipahu12106PocilloporidaeDessus;nov-24;Vaipahu;12m;106;Pocilloporidae;Dessus;4;
45597Vaipahu12105AutresDessous;nov-24;Vaipahu;12m;105;Autres;Dessous;3;
45597Vaipahu12105PoritidaeDessous;nov-24;Vaipahu;12m;105;Poritidae;Dessous;1;
45597Vaipahu12105AcroporidaeDessus;nov-24;Vaipahu;12m;105;Acroporidae;Dessus;1;
45597Vaipahu12105PocilloporidaeDessous;nov-24;Vaipahu;12m;105;Pocilloporidae;Dessous;4;
45597Vaipahu12105PocilloporidaeBords;nov-24;Vaipahu;12m;105;Pocilloporidae;Bords;2;
45597Vaipahu12104AutresDessous;nov-24;Vaipahu;12m;104;Autres;Dessous;1;
45597Vaipahu12104PoritidaeDessous;nov-24;Vaipahu;12m;104;Poritidae;Dessous;1;
45597Vaipahu12104PocilloporidaeDessous;nov-24;Vaipahu;12m;104;Pocilloporidae;Dessous;4;
45597Vaipahu12103PoritidaeDessous;nov-24;Vaipahu;12m;103;Poritidae;Dessous;2;
45597Vaipahu12103AcroporidaeDessous;nov-24;Vaipahu;12m;103;Acroporidae;Dessous;1;
45597Vaipahu12103PocilloporidaeDessous;nov-24;Vaipahu;12m;103;Pocilloporidae;Dessous;6;
45597Vaipahu12102PoritidaeDessous;nov-24;Vaipahu;12m;102;Poritidae;Dessous;8;
45597Vaipahu12102AcroporidaeDessous;nov-24;Vaipahu;12m;102;Acroporidae;Dessous;1;
45597Vaipahu12102PocilloporidaeDessous;nov-24;Vaipahu;12m;102;Pocilloporidae;Dessous;3;
45597Vaipahu1294PoritidaeDessous;nov-24;Vaipahu;12m;94;Poritidae;Dessous;2;
45597Vaipahu1294PocilloporidaeDessous;nov-24;Vaipahu;12m;94;Pocilloporidae;Dessous;4;
45597Vaipahu1293PocilloporidaeDessous;nov-24;Vaipahu;12m;93;Pocilloporidae;Dessous;1;
45597Vaipahu1292PoritidaeDessous;nov-24;Vaipahu;12m;92;Poritidae;Dessous;2;
45597Vaipahu1292PoritidaeBords;nov-24;Vaipahu;12m;92;Poritidae;Bords;1;
45597Vaipahu1292PocilloporidaeBords;nov-24;Vaipahu;12m;92;Pocilloporidae;Bords;1;
45597Vaipahu1291AutresDessous;nov-24;Vaipahu;12m;91;Autres;Dessous;2;
45597Vaipahu1291AcroporidaeDessous;nov-24;Vaipahu;12m;91;Acroporidae;Dessous;3;
45597Vaipahu1291PocilloporidaeDessous;nov-24;Vaipahu;12m;91;Pocilloporidae;Dessous;3;
45597Vaipahu1289AutresDessus;nov-24;Vaipahu;12m;89;Autres;Dessus;1;
