Clef;Date début;Site;Profondeur;Plaque;Famille;Position sur plaque;Nombre;Observation
45597Vaipahu1289AcroporidaeDessous;nov-24;Vaipahu;12m;89;Acroporidae;Dessous;1;
45597Vaipahu1289AcroporidaeDessus;nov-24;Vaipahu;12m;89;Acroporidae;Dessus;2;
45597Vaipahu1289PocilloporidaeDessous;nov-24;Vaipahu;12m;89;Pocilloporidae;Dessous;2;
45597Vaipahu1288AutresDessus;nov-24;Vaipahu;12m;88;Autres;Dessus;1;
45597Vaipahu1288PocilloporidaeDessus;nov-24;Vaipahu;12m;88;Pocilloporidae;Dessus;6;
45597Vaipahu1287AutresDessous;nov-24;Vaipahu;12m;87;Autres;Dessous;1;
45597Vaipahu1287PoritidaeDessous;nov-24;Vaipahu;12m;87;Poritidae;Dessous;4;
45597Vaipahu1286AutresDessous;nov-24;Vaipahu;12m;86;Autres;Dessous;4;
45597Vaipahu1286PoritidaeDessous;nov-24;Vaipahu;12m;86;Poritidae;Dessous;3;
45597Vaipahu1286AcroporidaeDessous;nov-24;Vaipahu;12m;86;Acroporidae;Dessous;1;
45597Vaipahu1286PocilloporidaeDessous;nov-24;Vaipahu;12m;86;Pocilloporidae;Dessous;7;
45597Vaipahu1285AutresDessous;nov-24;Vaipahu;12m;85;Autres;Dessous;2;
45597Vaipahu1285AcroporidaeDessous;nov-24;Vaipahu;12m;85;Acroporidae;Dessous;2;
45597Vaipahu1285PocilloporidaeDessous;nov-24;Vaipahu;12m;85;Pocilloporidae;Dessous;8;
45597Vaipahu1299AutresDessous;nov-24;Vaipahu;12m;99;Autres;Dessous;1;
45597Vaipahu1299PocilloporidaeDessous;nov-24;Vaipahu;12m;99;Pocilloporidae;Dessous;3;
45597Vaipahu1298AcroporidaeDessous;nov-24;Vaipahu;12m;98;Acroporidae;Dessous;2;
45597Vaipahu1298PocilloporidaeDessous;nov-24;Vaipahu;12m;98;Pocilloporidae;Dessous;2;
45597Vaipahu12140PocilloporidaeDessus;nov-24;Vaipahu;12m;140;Pocilloporidae;Dessus;1;
45597Vaipahu12139PocilloporidaeDessous;nov-24;Vaipahu;12m;139;Pocilloporidae;Dessous;6;
45597Vaipahu12139PocilloporidaeDessus;nov-24;Vaipahu;12m;139;Pocilloporidae;Dessus;1;
45597Vaipahu12171PoritidaeDessous;nov-24;Vaipahu;12m;171;Poritidae;Dessous;1;
45597Vaipahu12171PocilloporidaeDessous;nov-24;Vaipahu;12m;171;Pocilloporidae;Dessous;4;
45597Vaipahu12157AutresDessous;nov-24;Vaipahu;12m;157;Autres;Dessous;1;
45597Vaipahu12157AcroporidaeDessous;nov-24;Vaipahu;12m;157;Acroporidae;Dessous;2;
45597Vaipahu12157PocilloporidaeDessous;nov-24;Vaipahu;12m;157;Pocilloporidae;Dessous;6;
45597Vaipahu12157PocilloporidaeDessus;nov-24;Vaipahu;12m;157;Pocilloporidae;Dessus;1;
45597Vaipahu12156AutresDessus;nov-24;Vaipahu;12m;156;Autres;Dessus;1;
45597Vaipahu12156AcroporidaeDessus;nov-24;Vaipahu;12m;156;Acroporidae;Dessus;1;
45597Vaipahu12156PocilloporidaeDessous;nov-24;Vaipahu;12m;156;Pocilloporidae;Dessous;1;
45597Vaipahu12156PocilloporidaeDessus;nov-24;Vaipahu;12m;156;Pocilloporidae;Dessus;1;
45597Vaipahu6155AutresDessous;nov-24;Vaipahu;06m;155;Autres;Dessous;2;
45597Vaipahu6155AcroporidaeDessus;nov-24;Vaipahu;06m;155;Acroporidae;Dessus;2;
45597Vaipahu6155PocilloporidaeDessus;nov-24;Vaipahu;06m;155;Pocilloporidae;Dessus;4;
45597Vaipahu6154PocilloporidaeDessous;nov-24;Vaipahu;06m;154;Pocilloporidae;Dessous;2;
45597Vaipahu697PocilloporidaeDessous;nov-24;Vaipahu;06m;97;Pocilloporidae;Dessous;2;
45597Vaipahu696AcroporidaeDessous;nov-24;Vaipahu;06m;96;Acroporidae;Dessous;2;
45597Vaipahu696PocilloporidaeDessous;nov-24;Vaipahu;06m;96;Pocilloporidae;Dessous;8;
45597Vaipahu696PocilloporidaeBords;nov-24;Vaipahu;06m;96;Pocilloporidae;Bords;2;
45597Vaipahu6133AutresDessous;nov-24;Vaipahu;06m;133;Autres;Dessous;1;
45597Vaipahu6133AcroporidaeDessous;nov-24;Vaipahu;06m;133;Acroporidae;Dessous;1;
45597Vaipahu6133PocilloporidaeDessous;nov-24;Vaipahu;06m;133;Pocilloporidae;Dessous;3;
45597Vaipahu6132AcroporidaeDessous;nov-24;Vaipahu;06m;132;Acroporidae;Dessous;1;
45597Vaipahu6132PocilloporidaeDessous;nov-24;Vaipahu;06m;132;Pocilloporidae;Dessous;6;
45597Vaipahu6162AutresDessous;nov-24;Vaipahu;06m;162;Autres;Dessous;5;
45597Vaipahu6162AcroporidaeDessous;nov-24;Vaipahu;06m;162;Acroporidae;Dessous;4;
45597Vaipahu6162PocilloporidaeDessous;nov-24;Vaipahu;06m;162;Pocilloporidae;Dessous;5;
45597Vaipahu6161AcroporidaeDessous;nov-24;Vaipahu;06m;161;Acroporidae;Dessous;1;
45597Vaipahu6161PocilloporidaeDessous;nov-24;Vaipahu;06m;161;Pocilloporidae;Dessous;4;
45597Vaipahu6164AutresDessous;nov-24;Vaipahu;06m;164;Autres;Dessous;1;
45597Vaipahu6164AcroporidaeDessous;nov-24;Vaipahu;06m;164;Acroporidae;Dessous;3;
45597Vaipahu6164AcroporidaeDessus;nov-24;Vaipahu;06m;164;Acroporidae;Dessus;1;
45597Vaipahu6164PocilloporidaeDessous;nov-24;Vaipahu;06m;164;Pocilloporidae;Dessous;4;
45597Vaipahu6164PocilloporidaeDessus;nov-24;Vaipahu;06m;164;Pocilloporidae;Dessus;5;
45597Vaipahu6163AcroporidaeDessous;nov-24;Vaipahu;06m;163;Acroporidae;Dessous;3;
45597Vaipahu6163PocilloporidaeDessous;nov-24;Vaipahu;06m;163;Pocilloporidae;Dessous;8;
45597Vaipahu6163PocilloporidaeDessus;nov-24;Vaipahu;06m;163;Pocilloporidae;Dessus;1;
45597Vaipahu6101AutresDessous;nov-24;Vaipahu;06m;101;Autres;Dessous;2;
45597Vaipahu6101PoritidaeDessous;nov-24;Vaipahu;06m;101;Poritidae;Dessous;1;
45597Vaipahu6101AcroporidaeDessous;nov-24;Vaipahu;06m;101;Acroporidae;Dessous;1;
45597Vaipahu6101AcroporidaeDessus;nov-24;Vaipahu;06m;101;Acroporidae;Dessus;2;
45597Vaipahu6101PocilloporidaeDessous;nov-24;Vaipahu;06m;101;Pocilloporidae;Dessous;3;
45597Vaipahu6101PocilloporidaeDessus;nov-24;Vaipahu;06m;101;Pocilloporidae;Dessus;1;
45597Vaipahu6100AutresDessous;nov-24;Vaipahu;06m;100;Autres;Dessous;1;
45597Vaipahu6100AcroporidaeDessous;nov-24;Vaipahu;06m;100;Acroporidae;Dessous;2;
45597Vaipahu6100PocilloporidaeDessous;nov-24;Vaipahu;06m;100;Pocilloporidae;Dessous;7;
45597Vaipahu6123PoritidaeDessous;nov-24;Vaipahu;06m;123;Poritidae;Dessous;1;
45597Vaipahu6123AcroporidaeDessous;nov-24;Vaipahu;06m;123;Acroporidae;Dessous;1;
45597Vaipahu6123PocilloporidaeDessous;nov-24;Vaipahu;06m;123;Pocilloporidae;Dessous;5;
45597Vaipahu6122AutresDessous;nov-24;Vaipahu;06m;122;Autres;Dessous;1;
45597Vaipahu6122AutresDessus;nov-24;Vaipahu;06m;122;Autres;Dessus;1;
45597Vaipahu6122AcroporidaeDessous;nov-24;Vaipahu;06m;122;Acroporidae;Dessous;2;
45597Vaipahu6122PocilloporidaeDessous;nov-24;Vaipahu;06m;122;Pocilloporidae;Dessous;2;
45597Vaipahu6122PocilloporidaeBords;nov-24;Vaipahu;06m;122;Pocilloporidae;Bords;1;
45597Vaipahu6122PocilloporidaeDessus;nov-24;Vaipahu;06m;122;Pocilloporidae;Dessus;4;
45597Vaipahu684AcroporidaeDessous;nov-24;Vaipahu;06m;84;Acroporidae;Dessous;1;
45597Vaipahu684AcroporidaeDessus;nov-24;Vaipahu;06m;84;Acroporidae;Dessus;1;
45597Vaipahu684PocilloporidaeDessous;nov-24;Vaipahu;06m;84;Pocilloporidae;Dessous;7;
45597Vaipahu684PocilloporidaeDessus;nov-24;Vaipahu;06m;84;Pocilloporidae;Dessus;1;
45597Vaipahu683AutresDessous;nov-24;Vaipahu;06m;83;Autres;Dessous;6;
45597Vaipahu683AcroporidaeDessous;nov-24;Vaipahu;06m;83;Acroporidae;Dessous;2;
45597Vaipahu683PocilloporidaeDessous;nov-24;Vaipahu;06m;83;Pocilloporidae;Dessous;8;
45597Vaipahu682AutresDessous;nov-24;Vaipahu;06m;82;Autres;Dessous;4;
45597Vaipahu682AutresDessus;nov-24;Vaipahu;06m;82;Autres;Dessus;1;
45597Vaipahu682AcroporidaeDessous;nov-24;Vaipahu;06m;82;Acroporidae;Dessous;3;
45597Vaipahu682PocilloporidaeDessous;nov-24;Vaipahu;06m;82;Pocilloporidae;Dessous;3;
45597Vaipahu681AcroporidaeDessous;nov-24;Vaipahu;06m;81;Acroporidae;Dessous;2;
45597Vaipahu681PocilloporidaeDessous;nov-24;Vaipahu;06m;81;Pocilloporidae;Dessous;4;
45597Vaipahu680AcroporidaeDessous;nov-24;Vaipahu;06m;80;Acroporidae;Dessous;3;
45597Vaipahu680PocilloporidaeDessous;nov-24;Vaipahu;06m;80;Pocilloporidae;Dessous;7;
45597Vaipahu679AcroporidaeDessous;nov-24;Vaipahu;06m;79;Acroporidae;Dessous;2;
45597Vaipahu679PocilloporidaeDessous;nov-24;Vaipahu;06m;79;Pocilloporidae;Dessous;1;
45597Vaipahu678AutresDessous;nov-24;Vaipahu;06m;78;Autres;Dessous;1;
45597Vaipahu678PoritidaeDessous;nov-24;Vaipahu;06m;78;Poritidae;Dessous;1;
45597Vaipahu678AcroporidaeDessous;nov-24;Vaipahu;06m;78;Acroporidae;Dessous;4;
45597Vaipahu678PocilloporidaeDessous;nov-24;Vaipahu;06m;78;Pocilloporidae;Dessous;9;
45597Vaipahu678PocilloporidaeBords;nov-24;Vaipahu;06m;78;Pocilloporidae;Bords;2;
45597Vaipahu677AcroporidaeDessous;nov-24;Vaipahu;06m;77;Acroporidae;Dessous;2;
45597Vaipahu677PocilloporidaeDessous;nov-24;Vaipahu;06m;77;Pocilloporidae;Dessous;2;
45597Vaipahu676AcroporidaeDessous;nov-24;Vaipahu;06m;76;Acroporidae;Dessous;1;
45597Vaipahu676PocilloporidaeDessous;nov-24;Vaipahu;06m;76;Pocilloporidae;Dessous;2;
