Observateur;Année;Date;UE;Acanthastrea;Acropora;Astreopora;Cyphastrea;Favia;Fungia;Gardineroseris;Herpolitha;Leptastrea;Leptoseris;Lopophylia;Millepora;Astrea curta;Montipora;Pavona;Pocillopora;Porites sp (forme massive);Porites napopora;Porites synarea;Psammocora;Sandalolitha;Corail vivant non identifié;Total % Corail vivant;Macro algue molle;Asparagopsis (compté à partir de 2011);Turbinaria;Sargasse;Halimeda;Tuff;Algues encroutantes calcaires;Autres organismes vivants;Dalle;Débris;Sable;Divers autres;Corail mort récent moins de 1 an compté en 2020 avant et après compté en turf;Total %
SALVAT;1996;;1-2;;5,00;;;;;;;1,00;;;;1,00;1,00;2,00;19,00;4,00;;;;;;33,00;;;;;;37,00;11,00;;;9,00;10,00;;;100
SALVAT;1996;;3-4;;6,00;;;;;;;1,00;;;;1,00;1,00;1,00;14,00;11,00;1,00;;;;;36,00;;;2,00;;;48,00;4,00;;;5,00;5,00;;;100
SALVAT;1996;;5-6;;4,00;;;;;;;1,00;;;;;;1,00;15,00;5,00;;1,00;;;1,00;28,00;;;;;;45,00;7,00;;1,00;18,00;1,00;;;100
SALVAT;1996;;7-8;;5,00;;;;;;1,00;1,00;;;;1,00;3,00;1,00;8,00;8,00;;;;;;28,00;;;;;;35,00;16,00;;;12,00;9,00;;;100
SALVAT;1997;;1-2;;7,00;;;;;;;1,00;;;;2,00;1,00;2,00;14,00;9,00;;1,00;;;1,00;38,00;;;;;;37,00;5,00;;;16,00;4,00;;;100
SALVAT;1997;;3-4;;6,00;1,00;;1,00;;;;2,00;;;;;5,00;;21,00;6,00;;1,00;;;1,00;44,00;;;;;;33,00;3,00;;;15,00;5,00;;;100
SALVAT;1997;;5-6;;11,00;;;1,00;;;;1,00;;;;;1,00;;14,00;6,00;;;;;1,00;35,00;;;;;;26,00;15,00;;;23,00;1,00;;;100
SALVAT;1997;;7-8;;3,00;;;;;;1,00;1,00;;;;2,00;3,00;;16,00;7,00;;;;;;33,00;;;;;;38,00;8,00;;;15,00;6,00;;;100
SALVAT;1998;;1-2;;5,00;;;;;;;2,00;;;;1,00;2,00;1,00;11,00;12,00;;;;;1,00;35,00;;;;;;27,00;7,00;;;30,00;1,00;;;100
SALVAT;1998;;3-4;;11,00;;;;;;;1,00;;;;1,00;6,00;1,00;18,00;8,00;1,00;;;;2,00;49,00;;;;;;32,00;4,00;;;14,00;1,00;;;100
SALVAT;1998;;5-6;;10,00;;;;;;2,00;1,00;;;;1,00;1,00;1,00;14,00;2,00;1,00;;;;1,00;34,00;;;;;;26,00;13,00;;;25,00;2,00;;;100
SALVAT;1998;;7-8;;9,00;;;;2,00;;1,00;3,00;;;;1,00;4,00;;17,00;15,00;1,00;;;;;53,00;;;;;;31,00;3,00;;;11,00;2,00;;;100
SALVAT;1999;;1-2;;6,00;;;;;;;3,00;;;;1,00;4,00;2,00;12,00;5,00;;1,00;;;;34,00;;;;;;34,00;6,00;;;24,00;2,00;;;100
SALVAT;1999;;3-4;;14,00;;;3,00;;;;2,00;;;;1,00;4,00;2,00;16,00;10,00;1,00;1,00;;;;54,00;;;;;;27,00;4,00;;;14,00;1,00;;;100
SALVAT;1999;;5-6;;10,00;;;;;;;;;;;1,00;4,00;2,00;14,00;2,00;;1,00;;;;34,00;;;;;;25,00;5,00;;;33,00;3,00;;;100
SALVAT;1999;;7-8;;12,00;;;1,00;;;2,00;1,00;;;;;4,00;1,00;19,00;7,00;;;;;;47,00;;;;;;38,00;3,00;;;10,00;2,00;;;100
CHANCERELLE;2000;19/04/2000;1-2;;9,00;;;;;;;4,00;;;;3,00;4,00;2,00;5,00;13,00;;;;;;40,00;;;;;;12,00;5,00;;16,00;23,00;4,00;;;100
CHANCERELLE;2000;21/04/2000;3-4;;6,00;1,00;;;3,00;;1,00;2,00;;;;;4,00;1,00;15,00;6,00;;;;;;39,00;;;;;;28,00;5,00;;15,00;12,00;1,00;;;100
CHANCERELLE;2000;22/04/2000;5-6;;12,00;;;;;;;;;;;;2,00;1,00;16,00;4,00;2,00;2,00;;;;39,00;;;;;;17,00;2,00;;12,00;29,00;;1,00;;100
CHANCERELLE;2000;17/04/2000;7-8;;8,00;;;;;;1,00;2,00;;;;;7,00;;17,00;13,00;;;;;;48,00;;;;;;27,00;5,00;;12,00;6,00;2,00;;;100
CHANCERELLE;2001;12/04/2001;1-2;;12,00;;;;;;;2,00;;;;1,00;7,00;2,00;13,00;10,00;;2,00;1,00;;;50,00;;;;;;16,00;12,00;;1,00;18,00;3,00;;;100
CHANCERELLE;2001;11/04/2001;3-4;;12,00;;;;1,00;;;1,00;;;;3,00;7,00;4,00;12,00;12,00;2,00;;;;;54,00;;;;;;34,00;2,00;;1,00;9,00;;;;100
CHANCERELLE;2001;10/04/2001;5-6;;14,00;;;;1,00;;;;1,00;;1,00;;2,00;2,00;12,00;8,00;1,00;;;;;42,00;;;;;;21,00;6,00;;2,00;29,00;;;;100
CHANCERELLE;2001;13/04/2001;7-8;1,00;9,00;;;;1,00;;;3,00;;;;;6,00;;19,00;11,00;1,00;2,00;1,00;;;54,00;;;;;;26,00;10,00;;;7,00;3,00;;;100
CHANCERELLE;2002;26/04/2002;1-2;;8,00;;1,00;;;;;2,00;;;;1,00;8,00;1,00;11,00;10,00;1,00;3,00;;;;46,00;;;;;;20,00;5,00;;10,00;17,00;2,00;;;100
CHANCERELLE;2002;24/04/2002;3-4;;9,00;1,00;;;2,00;;1,00;;;;;;5,00;4,00;20,00;9,00;1,00;;;;;52,00;1,00;;;;;28,00;10,00;;1,00;7,00;1,00;;;100
CHANCERELLE;2002;25/04/2002;5-6;;12,00;;;;;;;1,00;;;;;2,00;4,00;16,00;5,00;2,00;4,00;;1,00;;47,00;2,00;;;;;16,00;5,00;;5,00;24,00;1,00;;;100
CHANCERELLE;2002;27/04/2002;7-8;;9,00;;;;;;;1,00;;;;2,00;6,00;3,00;19,00;9,00;1,00;1,00;1,00;;;52,00;;;;;;26,00;8,00;;3,00;11,00;;;;100
CHANCERELLE;2003;18/04/2003;1-2;;12,00;1,00;;;;;;2,00;;;;;5,00;2,00;13,00;8,00;1,00;1,00;;;;45,00;2,00;;;;;17,00;3,00;;10,00;20,00;3,00;;;100
CHANCERELLE;2003;16/04/2003;3-4;1,00;13,00;1,00;;;;;3,00;3,00;;;;1,00;;;12,00;13,00;1,00;;;;;48,00;;;;;;24,00;3,00;;6,00;19,00;;;;100
CHANCERELLE;2003;15/04/2003;5-6;;8,00;;;;1,00;;;;;;;;3,00;4,00;14,00;4,00;1,00;2,00;;;;37,00;;;;;;24,00;6,00;;3,00;29,00;1,00;;;100
CHANCERELLE;2003;19/04/2003;7-8;;11,00;1,00;;;;;;1,00;;;;;3,00;2,00;17,00;11,00;2,00;1,00;;;;49,00;;;;;;20,00;10,00;;11,00;9,00;1,00;;;100
CHANCERELLE;2004;28/04/2004;1-2;;10,00;;1,00;;2,00;;;2,00;;;;;4,00;2,00;19,00;14,00;;5,00;3,00;;;62,00;2,00;;;;;19,00;5,00;;2,00;10,00;;;;100
CHANCERELLE;2004;30/04/2004;3-4;;13,00;1,00;;;2,00;;;;;;;1,00;3,00;1,00;19,00;7,00;2,00;;;;;49,00;1,00;;;;;24,00;7,00;;9,00;10,00;;;;100
CHANCERELLE;2004;27/04/2004;5-6;;13,00;;1,00;;1,00;;;1,00;2,00;;2,00;;2,00;2,00;16,00;5,00;;2,00;;;;47,00;;;;;;28,00;5,00;;;20,00;;;;100
CHANCERELLE;2004;29/04/2004;7-8;;14,00;;;;1,00;;1,00;1,00;;;;1,00;;2,00;13,00;8,00;2,00;2,00;;;;45,00;3,00;;;;;24,00;9,00;;4,00;12,00;3,00;;;100
CHANCERELLE;2005;28/04/2005;1-2;;14,00;;;;;;;1,00;;;;;2,00;;19,00;13,00;2,00;3,00;;;;54,00;;;;;;22,00;NA;;12,00;12,00;;;;100
CHANCERELLE;2005;26/04/2005;3-4;;17,00;;;;1,00;;1,00;;1,00;;;;1,00;;14,00;13,00;1,00;1,00;;;;50,00;;;;;;15,00;NA;;18,00;17,00;;;;100
CHANCERELLE;2005;27/04/2005;5-6;;11,00;;;;2,00;;;;;;1,00;;3,00;3,00;14,00;2,00;2,00;3,00;1,00;;;42,00;1,00;;;;;15,00;NA;;27,00;15,00;;;;100
CHANCERELLE;2005;30/04/2005;7-8;;9,00;2,00;;;;;1,00;1,00;;;;2,00;3,00;;21,00;8,00;2,00;1,00;;;;50,00;1,00;;;;;19,00;NA;;24,00;6,00;;;;100
CHANCERELLE;2006;21/04/2006;1-2;;8,00;;1,00;;2,00;;;3,00;;;;2,00;3,00;;16,00;10,00;1,00;2,00;;;;48,00;2,00;;;;;21,00;NA;;20,00;7,00;2,00;;;100
CHANCERELLE;2006;19/04/2006;3-4;;15,00;1,00;1,00;;1,00;;;1,00;1,00;;;2,00;1,00;1,00;9,00;11,00;;1,00;;;;45,00;;;;;;16,00;NA;;13,00;25,00;1,00;;;100
CHANCERELLE;2006;18/04/2006;5-6;;11,00;;;;1,00;;1,00;2,00;;;;;4,00;1,00;13,00;1,00;2,00;8,00;;;;44,00;;;;;;15,00;NA;;21,00;19,00;1,00;;;100
CHANCERELLE;2006;20/04/2006;7-8;;6,00;1,00;;;;;3,00;2,00;;;;1,00;1,00;1,00;23,00;8,00;1,00;2,00;;;;49,00;1,00;;;;;18,00;NA;;25,00;6,00;;1,00;;100
CHANCERELLE;2007;14/04/2007;1-2;;;;;;1,00;;;1,00;;1,00;;1,00;1,00;;11,00;7,00;1,00;1,00;;;;25,00;1,00;;;;;38,00;NA;;20,00;16,00;;;;100
CHANCERELLE;2007;11/04/2007;3-4;1,00;1,00;;;;1,00;;;;;;;1,00;;;7,00;8,00;;;;;;19,00;;;;;;46,00;NA;;19,00;16,00;;;;100
CHANCERELLE;2007;13/04/2007;5-6;;1,00;;;;;;1,00;;;;2,00;;2,00;;6,00;3,00;;4,00;;;;19,00;;;;;;32,00;NA;;25,00;24,00;;;;100
CHANCERELLE;2007;10/04/2007;7-8;;1,00;;;;;;;1,00;;;;2,00;;;7,00;11,00;1,00;;;;;23,00;1,00;;;;;50,00;NA;;20,00;6,00;;;;100
CHANCERELLE;2008;02/05/2008;1-2;;;;;;;;;;;;;1,00;;;;4,00;;;;;;5,00;1,00;;;;1,00;58,00;14,00;;1,00;17,00;3,00;;;100
CHANCERELLE;2008;29/04/2008;3-4;;;;;;;;;;;;;;;;;2,00;;2,00;;;;4,00;2,00;;;;2,00;56,00;18,00;;2,00;15,00;1,00;;;100
CHANCERELLE;2008;30/04/2008;5-6;;;;;;;;;;;;;;1,00;;2,00;;;3,00;;;;6,00;2,00;;;;4,00;45,00;23,00;;4,00;16,00;;;;100
CHANCERELLE;2008;01/05/2008;7-8;;;;;;;;;;;;;;;1,00;4,00;3,00;;2,00;;;;10,00;;;;;1,00;67,00;17,00;;2,00;2,00;;1,00;;100
CHANCERELLE;2009;25/04/2009;1-2;;;;;;;;;;;;;;;;1,00;;;;;;;1,00;;;;;1,00;58,00;20,00;;;16,00;4,00;;;100
CHANCERELLE;2008;22/04/2009;3-4;;;;;;;;;;;;;;;;;;1,00;;;;;1,00;;;;;3,00;42,00;27,00;;4,00;22,00;1,00;;;100
CHANCERELLE;2008;23/04/2009;5-6;;;;;;;;;;;;;1,00;;;;1,00;;4,00;;;;6,00;;;;;;36,00;26,00;;5,00;27,00;;;;100
CHANCERELLE;2008;23/04/2009;7-8;;;;;;;;;;;;;;;;;2,00;;;;;;2,00;;;;;;56,00;31,00;;2,00;9,00;;;;100
CHANCERELLE;2010;04/05/2010;1-2;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;45,00;36,00;;;16,00;3,00;;;100
CHANCERELLE;2010;05/05/2010;3-4;;;;;;;;;;;;;;;;;1,00;;;;;;1,00;;;;;;61,00;4,00;;;30,00;4,00;;;100
CHANCERELLE;2010;05/05/2010;5-6;;;;;;;;;;;;;;;;;;;;1,00;;;1,00;;;;;;50,00;12,00;;;31,00;6,00;;;100
CHANCERELLE;2010;04/05/2010;7-8;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;38,00;27,00;;4,00;25,00;6,00;;;100
CHANCERELLE;2011;28/04/2011;1-2;;;;;;;;;;;;;;;;;1,00;;;;;;1,00;;2,00;;;2,00;54,00;20,00;;1,00;19,00;1,00;;;100
CHANCERELLE;2011;26/04/2011;3-4;;;;;;;;;;;;;;;;;;;;;;;0,00;;1,00;;;2,00;56,00;15,00;;2,00;22,00;2,00;;;100
CHANCERELLE;2011;27/04/2011;5-6;;;;;;;;;;;;;;;;;;;1,00;;;;1,00;;3,00;;;;54,00;8,00;;;28,00;6,00;;;100
CHANCERELLE;2011;26/04/2011;7-8;;;;;;;;;;;;;;;;;1,00;;;;;;1,00;;;;;2,00;40,00;23,00;;;34,00;;;;100
CHANCERELLE;2012;07/05/2012;1-2;;;;;;;;;;;;;;;;;1,00;;;2,00;;;3,00;;2,00;;;;63,00;12,00;;;20,00;;;;100
CHANCERELLE;2012;07/05/2012;3-4;;;;;;;;;;;;;;;;1,00;1,00;;;;;;2,00;;;;;2,00;62,00;8,00;;;23,00;3,00;;;100
CHANCERELLE;2012;09/05/2012;5-6;;;;;;;;;;;;;1,00;1,00;;1,00;1,00;1,00;;1,00;;;6,00;;;;;5,00;39,00;5,00;;;43,00;1,00;1,00;;100
CHANCERELLE;2012;09/05/2012;7-8;;;;;;;;;;;;;;;;1,00;;;;;;;1,00;;;;;;39,00;21,00;;;38,00;1,00;;;100
CHANCERELLE;2013;06/05/2013;1-2;;;;;;;;;;;;;;1,00;;;;;;;;;1,00;1,00;6,00;;;;40,00;27,00;;;18,00;6,00;1,00;;100
CHANCERELLE;2013;02/05/2013;3-4;;;;;;;;;;;;;;1,00;;2,00;1,00;;;;;;4,00;;16,00;;;3,00;39,00;12,00;;1,00;24,00;1,00;;;100
CHANCERELLE;2013;02/05/2013;5-6;;1,00;1,00;;;;;1,00;;;;;;1,00;;4,00;1,00;;;;;;9,00;;5,00;;;1,00;47,00;10,00;;;25,00;3,00;;;100
CHANCERELLE;2013;06/05/2013;7-8;;;;;;;;;;;;;2,00;2,00;1,00;2,00;2,00;;;;;;9,00;;4,00;;;;31,00;31,00;;;23,00;2,00;;;100
CHANCERELLE;2014;16/04/2014;1-2;;;;;;;;;;;;;1,00;;1,00;3,00;2,00;1,00;1,00;;;;9,00;;3,00;;;;49,00;15,00;;;21,00;3,00;;;100
CHANCERELLE;2014;15/04/2014;3-4;1,00;;;;;;;;;;;;;1,00;;12,00;1,00;2,00;;;;;17,00;1,00;4,00;;;;47,00;8,00;;;22,00;1,00;;;100
CHANCERELLE;2014;15/04/2014;5-6;2,00;;;;;;;;;;;;3,00;4,00;;13,00;3,00;;;1,00;;;26,00;;5,00;;;2,00;34,00;8,00;;;25,00;;;;100
CHANCERELLE;2014;16/04/2014;7-8;;2,00;;;;;;1,00;;;;;2,00;2,00;;8,00;1,00;;;;;;16,00;;4,00;;;1,00;46,00;16,00;;;17,00;;;;100
CHANCERELLE;2015;09/04/2015;1-2;;;;;;;;;;;;;;;;12,00;;;;;;;12,00;;11,00;;;;36,00;19,00;;;20,00;2,00;;;100
CHANCERELLE;2015;15/04/2015;3-4;1,00;1,00;;;;;;;1,00;;;;1,00;4,00;;19,00;2,00;;;;;;29,00;;12,00;;;1,00;27,00;7,00;;;23,00;1,00;;;100
CHANCERELLE;2015;14/04/2015;5-6;1,00;3,00;;;;;;;;;;;1,00;8,00;;15,00;3,00;;1,00;;;;32,00;;13,00;;;;22,00;7,00;;;25,00;1,00;;;100
CHANCERELLE;2015;09/04/2015;7-8;1,00;;;;;;;;;;;;1,00;3,00;1,00;11,00;;2,00;;;;;19,00;;6,00;;;1,00;31,00;23,00;;;20,00;;;;100
CHANCERELLE;2016;23/05/2016;1-2;;;;;;;;;;;;;;4,00;;26,00;5,00;;;1,00;;;36,00;;8,00;;;1,00;21,00;11,00;;;17,00;6,00;;;100
CHANCERELLE;2016;18/05/2016;3-4;;;;;;;;;;;;;2,00;9,00;1,00;27,00;3,00;;;;;;42,00;;6,00;;;;19,00;12,00;;;20,00;1,00;;;100
CHANCERELLE;2016;18/05/2016;5-6;1,00;2,00;;;;;;1,00;;;;;;5,00;;14,00;2,00;;1,00;;;;26,00;;4,00;;;;25,00;13,00;;;32,00;;;;100
CHANCERELLE;2016;20/05/2016;7-8;;2,00;;;;;;;;;1,00;;;4,00;1,00;21,00;2,00;;;;;;31,00;;2,00;;;;23,00;19,00;;;24,00;1,00;;;100
CHANCERELLE;2017;14/04/2017;1-2;;4,00;;;;;;;;;;;;5,00;1,00;29,00;5,00;1,00;;;;;45,00;;4,00;;;;21,00;22,00;;;8,00;;;;100
CHANCERELLE;2017;13/04/2017;3-4;;5,00;;;;;;;;;;;;4,00;2,00;37,00;3,00;;;;;;51,00;;11,00;;;;14,00;9,00;;;14,00;1,00;;;100
CHANCERELLE;2017;13/04/2017;5-6;;3,00;;;;;;;;;;;3,00;3,00;1,00;17,00;1,00;1,00;;;;;29,00;;4,00;;;;42,00;7,00;;;18,00;;;;100
CHANCERELLE;2017;14/04/2017;7-8;;3,00;;;;;;;2,00;;;;1,00;2,00;2,00;29,00;3,00;;2,00;;;;44,00;;2,00;;;;24,00;12,00;;;16,00;2,00;;;100
CHANCERELLE;2018;09/05/2018;1-2;;1,00;;;;;;;;;;;1,00;5,00;2,00;26,00;4,00;;;1,00;;;40,00;;7,00;;;;9,00;29,00;;1,00;10,00;4,00;;;100
CHANCERELLE;2018;03/05/2018;3-4;1,00;;;;;;;;;;;;1,00;8,00;2,00;40,00;5,00;;;;;;57,00;;5,00;;;;14,00;12,00;;2,00;8,00;2,00;;;100
CHANCERELLE;2018;04/05/2018;5-6;;3,00;;;;;;;;;;;4,00;5,00;2,00;33,00;1,00;;;1,00;;;49,00;;2,00;;;;22,00;10,00;;;16,00;1,00;;;100
CHANCERELLE;2018;09/05/2018;7-8;;6,00;;;;;;1,00;;;;;1,00;9,00;1,00;23,00;4,00;1,00;1,00;;;;47,00;;5,00;;;;7,00;25,00;;;16,00;;;;100
CHANCERELLE;2019;24/05/2019;1-2;;4,00;;;;;;;;;;;1,00;2,00;1,00;35,00;4,00;;;;;;47,00;;1,00;;;1,00;24,00;10,00;;;12,00;5,00;;;100
CHANCERELLE;2019;21/05/2019;3-4;;8,00;;;;;;;;;;;1,00;4,00;1,00;38,00;4,00;;;;;;56,00;1,00;4,00;;;1,00;26,00;3,00;;;3,00;6,00;;;100
CHANCERELLE;2019;24/05/2019;5-6;;4,00;;;;;;1,00;;;;;;4,00;1,00;26,00;;;2,00;;;;38,00;;4,00;;;;22,00;12,00;;;21,00;3,00;;;100
CHANCERELLE;2019;21/05/2019;7-8;;6,00;;;;;;;;;;;;1,00;;36,00;1,00;;2,00;;;;46,00;;5,00;;;;19,00;14,00;;;15,00;1,00;;;100
CHANCERELLE;2020;15/05/2020;1-2;;;;;;;;2,00;;;;;1,00;1,00;3,00;20,00;2,00;;1,00;;;;30,00;;8,00;;;;5,00;27,00;;;8,00;2,00;;20,00;100
CHANCERELLE;2020;12/05/2020;3-4;;1,00;;;;;;;;;;;2,00;4,00;1,00;29,00;4,00;1,00;;;;;42,00;3,00;7,00;;;1,00;8,00;6,00;1,00;;10,00;;;22,00;100
CHANCERELLE;2020;15/05/2020;5-6;1,00;3,00;;;;;;;;;;;1,00;1,00;1,00;21,00;1,00;;4,00;1,00;;;34,00;1,00;1,00;;;1,00;12,00;19,00;;;16,00;;;16,00;100
CHANCERELLE;2020;15/05/2020;7-8;;4,00;;;;;;;;;;;;1,00;;31,00;1,00;;1,00;;;;38,00;;5,00;;;1,00;8,00;17,00;;;15,00;5,00;;11,00;100
CHANCERELLE;2021;22/04/2021;1-2;;1,00;;1,00;;;;;1,00;;;;;;1,00;16,00;7,00;;;;;1,00;28,00;2,00;;;;1,00;42,00;15,00;;1,00;7,00;4,00;;;100
CHANCERELLE;2021;22/04/2021;3-4;;;;;;;;;;;;;1,00;4,00;1,00;18,00;1,00;;;;;;25,00;6,00;2,00;;;;34,00;14,00;;;15,00;4,00;;;100
CHANCERELLE;2021;21/04/2021;5-6;;5,00;;;;1,00;;;;;;1,00;2,00;2,00;;11,00;4,00;;2,00;;;;28,00;;3,00;;;1,00;45,00;13,00;;;10,00;;;;100
CHANCERELLE;2021;23/04/2021;7-8;1,00;1,00;;;;;;;;;;;1,00;1,00;;27,00;1,00;;;;;;32,00;1,00;;;;1,00;35,00;14,00;;;17,00;;;;100
CHANCERELLE;2022;17/06/2022;1-2;;1,00;;;;;;;;;;;1,00;;;12,00;2,00;;1,00;;;;17,00;4,00;2,00;;;3,00;33,00;16,00;;2,00;19,00;4,00;;;100
CHANCERELLE;2022;14/06/2022;3-4;;2,00;;;;;;;;;;;1,00;;1,00;14,00;1,00;;;;;;19,00;4,00;7,00;;;5,00;40,00;11,00;;2,00;12,00;;;;100
CHANCERELLE;2022;14/06/2022;5-6;;3,00;;;;;;;;;;3,00;1,00;;2,00;20,00;1,00;;2,00;;;;32,00;1,00;3,00;;;2,00;21,00;20,00;;2,00;18,00;1,00;;;100
CHANCERELLE;2022;09/06/2022;7-8;;1,00;;;;;;1,00;1,00;;;;1,00;;;17,00;5,00;;;;;;26,00;3,00;6,00;;;4,00;34,00;13,00;;2,00;10,00;2,00;;;100
CHANCERELLE;2023;18/04/2023;1-2;;1,00;;;;;;;;;;;;;;13,00;3,00;;;;;;17,00;3,00;7,00;;;;49,00;10,00;;;14,00;;;;100
CHANCERELLE;2023;13/04/2023;3-4;;;;;;;;;;;;;;1,00;;8,00;1,00;;;1,00;;;11,00;7,00;8,00;;;2,00;42,00;9,00;;;16,00;3,00;;2,00;100
CHANCERELLE;2023;13/04/2023;5-6;;4,00;;;;;;;;;;1,00;;3,00;1,00;10,00;2,00;1,00;1,00;;;;23,00;2,00;10,00;;;7,00;31,00;16,00;;;10,00;;;1,00;100
CHANCERELLE;2023;18/04/2023;7-8;1,00;4,00;;;;;;;;;;;;;;13,00;1,00;;;;;;19,00;2,00;8,00;;;2,00;50,00;3,00;;;14,00;;;2,00;100
CHANCERELLE;2024;25/04/2024;1-2;;;;;;;;;;;;;;;;;;;;;;;0,00;2,00;4,00;;;;62,00;12,00;;;20,00;;;;100
CHANCERELLE;2024;25/04/2024;3-4;;;;;;;;;;;;;;;;;;;;;;;0,00;4,00;5,00;;;2,00;58,00;10,00;;;20,00;1,00;;;100
CHANCERELLE;2024;25/04/2024;5-6;;;;;;;;;;;;;;1,00;;2,00;;;;;;;3,00;1,00;;;;1,00;55,00;17,00;;;23,00;;;;100
CHANCERELLE;2024;25/04/2024;7-8;;;;;;;;;;;;;;;;1,00;;;;;;;1,00;2,00;6,00;;;2,00;60,00;10,00;;;14,00;5,00;;;100
