Observateur;Année;Date;UE;Acanthastrea;Acropora;Astreopora;Cyphastrea;Favia;Fungia;Gardineroseris;Herpolitha;Leptastrea;Leptoseris;Lopophylia;Millepora;Astrea curta;Montipora;Pavona;Pocillopora;Porites sp (forme massive);Porites napopora;Porites synarea;Psammocora;Sandalolitha;Corail vivant non identifié;Total % Corail vivant;Macro algue molle;Asparagopsis (compté à partir de 2011);Turbinaria;Sargasse;Halimeda;Tuff;Algues encroutantes calcaires;Autres organismes vivants;Dalle;Débris;Sable;Divers autres;Corail mort récent moins de 1 an compté en 2020 avant et après compté en turf;Total %
SALVAT;1991;;1-2;;12,00;;;;;;1,00;;;;;;12,00;;32,00;3,00;;;;;;60,00;;;;;;14,00;16,00;;;9,00;1,00;;;100
SALVAT;1991;;3-4;1,00;15,00;;;;;;;;;;;1,00;4,00;;29,00;6,00;;;;;;56,00;;;2,00;;;16,00;12,00;2,00;;9,00;3,00;;;100
SALVAT;1991;;5-6;;10,00;;;3,00;;;1,00;;;;1,00;4,00;4,00;;23,00;4,00;;;;;;50,00;;;;;;11,00;17,00;;4,00;18,00;;;;100
SALVAT;1991;;7-8;;9,00;;;1,00;;;;;;;;;9,00;;16,00;3,00;;;;;;38,00;;;;;;24,00;23,00;;;13,00;2,00;;;100
SALVAT;1992;;1-2;;5,00;;;;;;;1,00;;1,00;;;5,00;1,00;21,00;8,00;;;;;;42,00;;;;;;32,00;8,00;;1,00;8,00;9,00;;;100
SALVAT;1992;;3-4;;2,00;;1,00;;;;;2,00;;;;1,00;2,00;2,00;14,00;5,00;;1,00;;;;30,00;;;;;;37,00;10,00;;1,00;18,00;4,00;;;100
SALVAT;1992;;5-6;;2,00;;;1,00;;;;1,00;;;;;;1,00;5,00;;;2,00;;;1,00;13,00;;;;;;34,00;9,00;;1,00;39,00;4,00;;;100
SALVAT;1992;;7-8;;1,00;;;1,00;;;;;;;;;4,00;;2,00;4,00;;;;;;12,00;;;;;;32,00;14,00;;1,00;27,00;14,00;;;100
SALVAT;1993;;1-2;;4,00;;;;;;;;;1,00;;;4,00;;15,00;5,00;;;;;;29,00;;;;;;38,00;5,00;;1,00;11,00;16,00;;;100
SALVAT;1993;;3-4;;4,00;;;1,00;;;;3,00;;;;1,00;2,00;1,00;13,00;7,00;;;;;;32,00;;;1,00;;;37,00;3,00;;5,00;16,00;6,00;;;100
SALVAT;1993;;5-6;;5,00;;;1,00;;;;;2,00;;;;;;6,00;1,00;;;;;;15,00;;;;;;42,00;7,00;;6,00;27,00;3,00;;;100
SALVAT;1993;;7-8;;0,00;;;;;;;2,00;;;;;1,00;;5,00;5,00;1,00;;;;;14,00;;;;;;35,00;17,00;;4,00;16,00;14,00;;;100
SALVAT;1994;;1-2;;6,00;;1,00;;;;;1,00;;;;;4,00;1,00;15,00;5,00;1,00;;;;;34,00;;;;;;46,00;2,00;;;11,00;7,00;;;100
SALVAT;1994;;3-4;;5,00;1,00;;;;;;3,00;;;;;3,00;2,00;12,00;5,00;;;;;;31,00;;;2,00;;;48,00;0,00;;;17,00;2,00;;;100
SALVAT;1994;;5-6;;5,00;;;;;;;1,00;;;;1,00;2,00;2,00;7,00;;1,00;1,00;;;;20,00;;;;;;52,00;2,00;1,00;1,00;22,00;2,00;;;100
SALVAT;1994;;7-8;;1,00;;;1,00;;;;1,00;;;;1,00;7,00;1,00;5,00;8,00;2,00;;;;;27,00;;;;;;48,00;8,00;;;13,00;4,00;;;100
SALVAT;1995;;1-2;;2,00;;;;;;;1,00;;1,00;;1,00;4,00;1,00;17,00;7,00;;1,00;;;;35,00;;;1,00;;;35,00;8,00;;;15,00;6,00;;;100
SALVAT;1995;;3-4;;5,00;;;;;;;2,00;;;;;;;14,00;6,00;;;;;;27,00;;;4,00;;;39,00;11,00;;;14,00;5,00;;;100
SALVAT;1995;;5-6;;2,00;;;2,00;;;;1,00;;;;;3,00;3,00;9,00;4,00;1,00;;;;;25,00;;;;;;25,00;17,00;;;33,00;;;;100
SALVAT;1995;;7-8;;1,00;;;2,00;;;1,00;1,00;;;;2,00;1,00;;18,00;5,00;3,00;;;;;34,00;;;;;;39,00;10,00;;;10,00;7,00;;;100
